Time,BatteryPower,DesiredSpeed,ActualSpeed,MPGe,MotorSpeed,MotorTorque,SOC,Current
0,0,0,0,0,0,0,80,0
1,0,0,0,5.33982499404094e-05,-0.00514248000092103,0,80,0
2,0,0,0,6.53300255388608e-05,-0.00383886138907631,0,80,0
3,0,0,0,7.43039521905229e-05,-0.00288861391882118,0,80,0
4,0,0,0,8.10590915907564e-05,-0.00217525818934197,0,80,0
5,0,0,0,8.61474603339718e-05,-0.00163901327995874,0,80,0
6,0,0,0,8.99822603602807e-05,-0.00123549919216354,0,80,0
7,0,0,0,9.28734218098158e-05,-0.000931631698580357,0,80,0
8,0,0,0,9.5053773699037e-05,-0.00070267236695284,0,80,0
9,0,0,0,9.66984284505602e-05,-0.000530080723610213,0,80,0
10,0,0,0,9.79392053215878e-05,-0.000399937251860989,0,80,0
11,0,0,0,9.88753996745647e-05,-0.000301777941604029,0,80,0
12,0,0,0,9.95818450872611e-05,-0.000227728646587469,0,80,0
13,0,0,0,0.000100114960915264,-0.000171859639584449,0,80,0
14,0,0,0,0.000100517295588803,-0.000129702931051913,0,80,0
15,0,0,0,0.000100820943739552,-9.78904943064569e-05,0,80,0
16,0,0,0,0.000101050118543802,-7.38826475223038e-05,0,80,0
17,0,0,0,0.000101223089404336,-5.57638599836297e-05,0,80,0
18,0,0,0,0.000101353642284013,-4.20890946632899e-05,0,80,0
19,0,0,0,0.000101452180699648,-3.1768093610318e-05,0,80,0
20,0,0,0,0.000101526556033544,-2.39781877504745e-05,0,80,0
21,0,0,0,0.000101582693844972,-1.80985716364962e-05,0,80,0
22,0,0,0,0.000101625066379109,-1.36607428286913e-05,0,80,0
23,0,0,0,0.000101657049086123,-1.03111212099223e-05,0,80,0
24,0,0,0,0.000101681189648053,-7.78284977848783e-06,0,80,0
25,0,0,0,0.000101699410998792,-5.87451874039893e-06,0,80,0
26,0,0,0,0.000101713164540327,-4.43411151390071e-06,0,80,0
27,0,0,0,0.000101723545777417,-3.34688997353364e-06,0,80,0
28,0,0,0,0.000101731381591481,-2.52625183909648e-06,0,80,0
29,0,0,0,0.000101737296111023,-1.90683071441358e-06,0,80,0
30,0,0,0,0.000101741760428527,-1.43928849174171e-06,0,80,0
31,0,0,0,0.000101745130125665,-1.08638492742662e-06,0,80,0
32,0,0,0,0.000101747673596774,-8.20011106104527e-07,0,80,0
33,0,0,0,0.000101749593427145,-6.18950376216687e-07,0,80,0
34,0,0,0,0.000101751042529256,-4.67188343670509e-07,0,80,0
35,0,0,0,0.000101752136322365,-3.526372768879e-07,0,80,0
36,0,0,0,0.000101752961925672,-2.66173294627547e-07,0,80,0
37,0,0,0,0.000101753585097339,-2.00909638637176e-07,0,80,0
38,0,0,0,0.000101754055472091,-1.5164813988992e-07,0,80,0
39,0,0,0,0.000101754410514577,-1.1446518620341e-07,0,80,0
40,0,0,0,0.00010175467850339,-8.63992086049102e-08,0,80,0
41,0,0,0,0.000101754880783422,-6.52147925328675e-08,0,80,0
42,0,0,0,0.00010175503346596,-4.92246319762724e-08,0,80,0
43,0,0,0,0.000101755148711927,-3.715513504029e-08,0,80,0
44,0,0,0,0.000101755235700481,-2.80449859231058e-08,0,80,0
45,0,0,0,0.000101755301360118,-2.11685740151164e-08,0,80,0
46,0,0,0,0.000101755350920525,-1.59782047150815e-08,0,80,0
47,0,0,0,0.000101755388329106,-1.20604731848111e-08,0,80,0
48,0,0,0,0.000101755416565394,-9.10333904439997e-09,0,80,0
49,0,0,0,0.000101755437878365,-6.87127144784748e-09,0,80,0
50,0,0,0,0.000101755453965563,-5.18648954889155e-09,0,80,0
51,0,0,0,0.000101755466108306,-3.91480269178982e-09,0,80,0
52,0,0,0,0.000101755475273742,-2.95492332811678e-09,0,80,0
53,0,0,0,0.000101755482191884,-2.23039946155101e-09,0,80,0
54,0,0,0,0.000101755487413753,-1.68352301956109e-09,0,80,0
